"","Year","Group","Age"
"183","1932","Producers","40.1"
"184","1933","Producers","39.3"
"185","1934","Producers","40.7"
"186","1935","Producers","41.9"
"187","1936","Producers","41.6"
"188","1937","Producers","42.4"
"189","1938","Producers","42.1"
"190","1939","Producers","42.4"
"191","1940","Producers","42.6"
"192","1941","Producers","43.2"
"193","1942","Producers","43"
"194","1943","Producers","43.5"
"195","1944","Producers","43.4"
"196","1945","Producers","44.8"
"197","1946","Producers","44.4"
"198","1947","Producers","44.9"
"199","1948","Producers","45.2"
"200","1949","Producers","44.9"
"201","1950","Producers","45"
"202","1951","Producers","44.9"
"203","1952","Producers","46.2"
"204","1953","Producers","46.2"
"205","1954","Producers","46"
"206","1955","Producers","46.3"
"207","1956","Producers","46.1"
"208","1957","Producers","46.3"
"209","1958","Producers","47.5"
"210","1959","Producers","46.3"
"211","1960","Producers","46.6"
"212","1961","Producers","47.3"
"213","1962","Producers","46.4"
"214","1963","Producers","47"
"215","1964","Producers","46.7"
"216","1965","Producers","45.9"
"217","1966","Producers","46.1"
"218","1967","Producers","47.1"
"219","1968","Producers","46.6"
"220","1969","Producers","46.3"
"221","1970","Producers","46"
"222","1971","Producers","45.3"
"223","1972","Producers","46.7"
"224","1973","Producers","46.9"
"225","1974","Producers","46.8"
"226","1975","Producers","47.3"
"227","1976","Producers","47.1"
"228","1977","Producers","47"
"229","1978","Producers","47.1"
"230","1979","Producers","47.1"
"231","1980","Producers","46.5"
"232","1981","Producers","47"
"233","1982","Producers","46.6"
"234","1983","Producers","47.2"
"235","1984","Producers","46.7"
"236","1985","Producers","47.1"
"237","1986","Producers","46.9"
"238","1987","Producers","46.2"
"239","1988","Producers","46.9"
"240","1989","Producers","46.2"
"241","1990","Producers","46.6"
"242","1991","Producers","46.6"
"243","1992","Producers","46"
"244","1993","Producers","46.2"
"245","1994","Producers","46.1"
"246","1995","Producers","45.9"
"247","1996","Producers","46.9"
"248","1997","Producers","46.6"
"249","1998","Producers","45.8"
"250","1999","Producers","45.5"
"251","2000","Producers","45.6"
"252","2001","Producers","45.1"
"253","2002","Producers","44.7"
"254","2003","Producers","45.5"
"255","2004","Producers","45.5"
"256","2005","Producers","44.2"
"257","2006","Producers","44.9"
"258","2007","Producers","45.5"
"259","2008","Producers","45.1"
"260","2009","Producers","45.2"
"261","2010","Producers","45.2"
"262","2011","Producers","45.9"
"263","2012","Producers","45.7"
"264","2013","Producers","46.3"
"265","2014","Producers","46.9"
"266","2015","Producers","47.2"
"267","2016","Producers","47.9"
"268","2017","Producers","48.4"
"269","2018","Producers","48"
"270","2019","Producers","48.6"
"271","1930","Directors","38.5"
"272","1931","Directors","38.9"
"273","1932","Directors","38.6"
"274","1933","Directors","39.4"
"275","1934","Directors","39.9"
"276","1935","Directors","40.5"
"277","1936","Directors","40.6"
"278","1937","Directors","40.9"
"279","1938","Directors","41.1"
"280","1939","Directors","41.5"
"281","1940","Directors","41.8"
"282","1941","Directors","42.5"
"283","1942","Directors","42.4"
"284","1943","Directors","43"
"285","1944","Directors","43.4"
"286","1945","Directors","43.6"
"287","1946","Directors","43.7"
"288","1947","Directors","43.8"
"289","1948","Directors","44.1"
"290","1949","Directors","44.1"
"291","1950","Directors","44.6"
"292","1951","Directors","44.5"
"293","1952","Directors","44.4"
"294","1953","Directors","44.8"
"295","1954","Directors","44.7"
"296","1955","Directors","44.9"
"297","1956","Directors","44.9"
"298","1957","Directors","44.9"
"299","1958","Directors","44.9"
"300","1959","Directors","44.5"
"301","1960","Directors","44.4"
"302","1961","Directors","43.8"
"303","1962","Directors","43.6"
"304","1963","Directors","43"
